BOROUGH_NAME,BUILDING CLASS CATEGORY,ZIP CODE,AGE,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,RESIDENTIAL UNITS,COMMERCIAL UNITS
Queens,01 ONE FAMILY DWELLINGS,11435.0,75.0,1.0,3505.0,1400.0,1.0,0.0
Manhattan,31 COMMERCIAL VACANT LAND,10035.0,,,3497.0,,0.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11364.0,85.0,1.0,4000.0,2167.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11225.0,115.0,1.0,2000.0,2468.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11411.0,80.0,1.0,4000.0,1299.0,1.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10458.0,105.0,2.0,2417.0,1932.0,1.0,1.0
Staten Island,01 ONE FAMILY DWELLINGS,10306.0,36.0,1.0,1469.0,1510.0,1.0,0.0
Staten Island,33 EDUCATIONAL FACILITIES,10306.0,40.0,1.0,3625.0,3100.0,0.0,1.0
Bronx,29 COMMERCIAL GARAGES,10455.0,,,3664.0,,0.0,0.0
Manhattan,26 OTHER HOTELS,10075.0,95.0,3.0,18803.0,294142.0,0.0,3.0
Queens,05 TAX CLASS 1 VACANT LAND,11377.0,,,930.0,,0.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11414.0,34.0,1.0,4000.0,2640.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11378.0,90.0,2.0,3300.0,1677.0,2.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10306.0,29.0,1.0,3400.0,1344.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11223.0,95.0,2.0,1650.0,1120.0,2.0,0.0
Staten Island,05 TAX CLASS 1 VACANT LAND,10306.0,,,3000.0,,0.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11211.0,115.0,2.0,2025.0,1200.0,2.0,0.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11221.0,10.0,8.0,2500.0,7907.0,8.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11433.0,65.0,1.0,1710.0,1600.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11229.0,95.0,1.0,2300.0,1800.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10314.0,20.0,1.0,5200.0,1400.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11370.0,90.0,1.0,2225.0,1372.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11204.0,100.0,1.0,3500.0,2413.0,1.0,0.0
Manhattan,21 OFFICE BUILDINGS,10001.0,112.0,14.0,7406.0,91777.0,0.0,14.0
Brooklyn,01 ONE FAMILY DWELLINGS,11234.0,90.0,1.0,1667.0,1208.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11379.0,75.0,2.0,2000.0,1460.0,2.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10309.0,41.0,1.0,2000.0,1496.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11427.0,75.0,1.0,3800.0,1368.0,1.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11413.0,75.0,1.0,1916.0,1600.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11235.0,95.0,1.0,1700.0,2046.0,1.0,0.0
Bronx,29 COMMERCIAL GARAGES,10463.0,95.0,1.0,2376.0,480.0,0.0,1.0
Queens,30 WAREHOUSES,11378.0,35.0,1.0,2500.0,2500.0,0.0,1.0
Bronx,07 RENTALS - WALKUP APARTMENTS,10466.0,97.0,43.0,8025.0,34440.0,43.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10469.0,70.0,2.0,7500.0,2656.0,2.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10458.0,124.0,2.0,2476.0,2100.0,2.0,0.0
Bronx,37 RELIGIOUS FACILITIES,10463.0,22.0,1.0,8149.0,14809.0,0.0,1.0
Brooklyn,01 ONE FAMILY DWELLINGS,11210.0,115.0,1.0,5000.0,3730.0,1.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10314.0,60.0,2.0,4652.0,2270.0,2.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10470.0,75.0,2.0,2090.0,1522.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11413.0,95.0,1.0,2542.0,1368.0,1.0,0.0
Queens,07 RENTALS - WALKUP APARTMENTS,11385.0,100.0,6.0,2327.0,2874.0,6.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11357.0,65.0,1.0,2601.0,1800.0,1.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11204.0,100.0,2.0,2500.0,2148.0,2.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11435.0,105.0,2.0,2506.0,1958.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11229.0,95.0,1.0,2326.0,1440.0,1.0,0.0
Queens,29 COMMERCIAL GARAGES,11356.0,105.0,3.0,5000.0,4557.0,2.0,1.0
Queens,02 TWO FAMILY DWELLINGS,11355.0,110.0,2.0,4000.0,1947.0,2.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10306.0,55.0,2.0,4000.0,2200.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11434.0,95.0,1.0,2963.0,1040.0,1.0,0.0
Manhattan,02 TWO FAMILY DWELLINGS,10463.0,100.0,2.0,2069.0,3312.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11361.0,85.0,1.0,2500.0,1056.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11209.0,90.0,1.0,4941.0,2087.0,1.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10458.0,124.0,2.0,2129.0,2960.0,2.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11226.0,115.0,2.0,1800.0,2160.0,2.0,0.0
